"","X","address","bedroom","bathroom","carspace","soldprice","landareas","yearsold","CBD_Distance","latitute","longitude","distanceSchool","agency","schoolName","Suburb","position"
"1",1,"41 Ashley Lane Hornsby NSW 2077",4,2,2,1500000,344,2023,21.55,-33.70405,151.0940473,0.71," McGrath ","Hornsby Girls High School ","Hornsby","North"
"2",2,"21 The Rampart Hornsby NSW 2077",4,2,1,1460000,752,2023,21.31,-33.6909572,151.0924395,0.87," Belle Property ","Hornsby South Public School ","Hornsby","North"
"3",3,"35 Orana Avenue Hornsby NSW 2077",3,1,2,1510000,865,2023,23.22,-33.6814308,151.103054,0.38," Marshall Real Estate","Hornsby North Public School ","Hornsby","North"
"4",4,"86 Old Berowra Road Hornsby NSW 2077",3,2,2,1588000,696,2023,23.38,-33.7030603,151.0846535,0.34," Atlas Real Estate ","Hornsby North Public School ","Hornsby","North"
"5",5,"19 Fern Tree Close Hornsby NSW 2077",5,2,5,1650000,1100,2023,22.46,-33.7100898,151.0867546,NA," Stone Real Estate ",NA,"Hornsby","North"
"6",6,"28 Frederick Street Hornsby NSW 2077",4,3,3,1850000,1265,2023,21.47,-33.6835601,151.1028713,0.91," Belle Property ","Hornsby South Public School ","Hornsby","North"
"7",7,"9/24 Clovelly Road Hornsby NSW 2077",3,2,4,1430000,1202,2023,20.97,-33.6907486,151.0938185,0.5," McGrath ","Hornsby South Public School ","Hornsby","North"
"8",8,"9 Orana Avenue Hornsby NSW 2077",3,1,1,1060000,294,2023,23.03,-33.6878246,151.0948245,0.52," Stone Real Estate ","Hornsby North Public School ","Hornsby","North"
"9",9,"9B lodge Street Hornsby NSW 2077",4,2,2,1595000,478,2023,22.78,-33.7004025,151.1070886,0.68," Stone Real Estate ","Hornsby North Public School ","Hornsby","North"
"10",10,"58A Manor Road Hornsby NSW 2077",4,3,3,1463000,1208,2023,22.82,-33.7119758,151.0901167,NA," McGrath ",NA,"Hornsby","North"
"11",11,"157 Pretoria Parade Hornsby NSW 2077",4,3,2,1527000,935,2022,21.93,-33.685052,151.1037635,NA," Belle Property ",NA,"Hornsby","North"
"12",12,"26 Railway Parade Hornsby NSW 2077",3,1,2,2040000,1436,2022,22.1,-33.7042209,151.0869895,0.98," Raine & Horne Hornsby ","Asquith Girls High School ","Hornsby","North"
"13",13,"3 Vista Close Hornsby NSW 2077",4,2,1,1961000,746,2022,23.06,-33.6853601,151.102393,0.43," Ray White ","Hornsby North Public School ","Hornsby","North"
"14",14,"2 Noble Street Hornsby NSW 2077",3,2,4,1360000,790,2022,21,-33.7104809,151.0923704,0.43," Keith Soames Real Estate ","Hornsby South Public School ","Hornsby","North"
"15",15,"1B Laurel Close Hornsby NSW 2077",2,1,2,1060000,312,2022,22.98,-33.6866624,151.1009951,0.47," Stone Real Estate ","Hornsby North Public School ","Hornsby","North"
"16",16,"66A Clarke Road Hornsby NSW 2077",3,2,3,2065000,699,2022,20.78,-33.7117651,151.0944776,0.22," Radar Properties ","Hornsby South Public School ","Hornsby","North"
"17",17,"60 Burdett St Hornsby NSW 2077",3,1,1,1457000,847,2022,20.99,-33.7038291,151.1077706,0.56," Stone Real Estate ","Waitara Public School ","Hornsby","North"
"18",18,"1 The Rampart Hornsby NSW 2077",3,1,2,1120000,1465,2022,21.16,-33.7110191,151.0878956,0.73," Ray White ","Hornsby South Public School ","Hornsby","North"
"19",19,"45 Milner Avenue Hornsby NSW 2077",4,2,1,1290000,903,2022,21.18,-33.7107193,151.0882252,0.72," Lumby Hampson ","Hornsby South Public School ","Hornsby","North"
"20",20,"5 Rosamond Street Hornsby NSW 2077",2,1,NA,1300000,917,2022,23.1,-33.687657,151.0956051,0.62," McGrath ","Hornsby North Public School ","Hornsby","North"
